# session boot=1 t=107.426
107.465 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
107.482 j1850: 28 1B 10 02 16 FC 37 | CRC OK
107.547 j1850: 28 1B 10 02 16 54 7E | CRC OK
107.613 j1850: 28 1B 10 02 16 5C 96 | CRC OK
107.679 j1850: 28 1B 10 02 16 04 A0 | CRC OK
107.744 j1850: 28 1B 10 02 16 5C 96 | CRC OK
107.810 j1850: 28 1B 10 02 16 94 4B | CRC OK
107.875 j1850: 28 1B 10 02 16 40 C7 | CRC OK
107.941 j1850: 28 1B 10 02 16 18 F1 | CRC OK
107.957 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
108.006 j1850: 28 1B 10 02 16 7C 11 | CRC OK
108.072 j1850: 28 1B 10 0A 16 CC 7D | CRC BAD
108.138 j1850: 28 1B 10 02 16 F0 AB | CRC OK
108.144 j1850: 68 88 10 03 44 | CRC OK
108.153 j1850: C8 88 10 0E BA | CRC OK
108.167 j1850: C8 89 60 03 9F | CRC OK
108.178 j1850: E8 89 60 0E 54 | CRC OK
108.203 j1850: 28 1B 10 02 16 8C 6E | CRC OK
108.268 j1850: 28 1B 10 02 16 40 C7 | CRC OK
108.334 j1850: 28 1B 10 02 15 E4 C6 | CRC OK
108.399 j1850: 28 1B 10 02 16 1C 85 | CRC OK
108.448 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
108.465 j1850: 28 1B 10 02 15 D8 10 | CRC OK
108.482 j1850: A8 83 10 0A 01 E0 3D | CRC OK
108.531 j1850: 28 1B 10 02 16 30 9E | CRC OK
108.596 j1850: 28 1B 10 02 16 94 4B | CRC OK
108.662 j1850: 28 1B 10 02 16 B0 B8 | CRC OK
108.727 j1850: 28 1B 10 02 16 3C 02 | CRC OK
108.793 j1850: 28 1B 10 02 16 A0 75 | CRC OK
108.841 j1850: A8 49 10 10 3F 4D | CRC OK | temp=0x3F
108.858 j1850: 28 1B 10 02 16 58 E2 | CRC OK
108.924 j1850: 28 1B 10 02 17 2C 83 | CRC OK
108.940 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
108.989 j1850: 28 1B 10 02 17 2C 83 | CRC OK
109.055 j1850: 28 1B 10 02 16 98 D7 | CRC OK
109.091 j1850: 68 FF 60 03 AD | CRC OK
109.120 j1850: 28 1B 10 02 16 F4 DF | CRC OK
109.135 j1850: 68 FF 10 03 86 | CRC OK
109.143 j1850: 68 88 10 03 44 | CRC OK
109.152 j1850: C8 88 10 0E BA | CRC OK
109.162 j1850: C8 89 60 03 9F | CRC OK
109.168 j1850: E8 89 60 0E 54 | CRC OK
109.186 j1850: 28 1B 10 02 16 94 4B | CRC OK
109.251 j1850: 28 1B 10 02 17 10 55 | CRC OK
109.317 j1850: 28 1B 10 02 17 50 46 | CRC OK
109.377 j1850: 68 FF 40 03 D8 | CRC OK
109.384 j1850: 28 1B 10 02 17 00 98 | CRC OK
109.431 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
