# session boot=2 t=33.214
53.140 j1850: 68 FF 40 02 C5 | CRC OK
53.217 j1850: 48 92 40 AA FF FF 5B | CRC OK
53.221 j1850: 48 92 40 AA FF FF 5B | CRC OK
53.224 j1850: 68 FF 40 03 D8 | CRC OK
53.228 j1850: 48 DA 40 39 00 70 | CRC OK
53.232 j1850: 29 FE 40 01 64 | CRC OK
53.236 j1850: 48 3B 40 02 29 | CRC OK
53.239 j1850: 48 3B 40 20 94 | CRC OK
53.243 j1850: 29 FE 60 01 11 | CRC OK
53.252 j1850: 68 93 60 AA FF FF 53 | CRC OK
53.349 j1850: 48 DA 40 39 00 70 | CRC OK
53.758 j1850: 29 FE 60 01 11 | CRC OK
53.763 j1850: 69 93 60 2A 18 | CRC OK
53.769 j1850: 68 FF 60 03 AD | CRC OK
53.777 j1850: 48 92 40 AA FF FF 5B | CRC OK
53.810 j1850: 68 93 60 AA FF FF 53 | CRC OK
54.912 j1850: 68 FF 40 03 D8 | CRC OK
54.922 j1850: 29 FE 40 01 64 | CRC OK
55.052 j1850: 29 FE 60 01 11 | CRC OK
55.058 j1850: 68 FF 60 03 AD | CRC OK
55.785 j1850: 48 DA 40 39 00 70 | CRC OK
56.923 j1850: 48 92 40 2A 00 00 1E | CRC OK
56.941 j1850: 68 FF 40 03 D8 | CRC OK
56.947 j1850: 68 93 60 2A 00 00 16 | CRC OK
56.953 j1850: 29 FE 40 01 64 | CRC OK
57.070 j1850: 29 FE 60 01 11 | CRC OK
57.075 j1850: 68 FF 60 03 AD | CRC OK
58.221 j1850: 48 DA 40 39 00 70 | CRC OK
58.972 j1850: 68 FF 40 03 D8 | CRC OK
58.982 j1850: 29 FE 40 01 64 | CRC OK
59.094 j1850: 29 FE 60 01 11 | CRC OK
59.100 j1850: 68 FF 60 03 AD | CRC OK
61.002 j1850: 68 FF 40 03 D8 | CRC OK
61.012 j1850: 29 FE 40 01 64 | CRC OK
61.104 j1850: 29 FE 60 01 11 | CRC OK
61.118 j1850: 68 FF 60 03 AD | CRC OK
63.032 j1850: 68 FF 40 03 D8 | CRC OK
63.042 j1850: 29 FE 40 01 64 | CRC OK
63.121 j1850: 29 FE 60 01 11 | CRC OK
63.127 j1850: 68 FF 60 03 AD | CRC OK
65.061 j1850: 68 FF 40 03 D8 | CRC OK
65.071 j1850: 29 FE 40 01 64 | CRC OK
65.138 j1850: 29 FE 60 01 11 | CRC OK
65.144 j1850: 68 FF 60 03 AD | CRC OK
67.092 j1850: 68 FF 40 03 D8 | CRC OK
67.102 j1850: 29 FE 40 01 64 | CRC OK
