# session boot=3 t=16.945
35.914 j1850: 68 FF 40 02 C5 | CRC OK
35.991 j1850: 48 92 40 AA FF FF 5B | CRC OK
35.995 j1850: 48 92 40 AA FF FF 5B | CRC OK
35.998 j1850: 68 FF 40 03 D8 | CRC OK
36.002 j1850: 48 DA 40 39 00 70 | CRC OK
36.006 j1850: 29 FE 40 01 64 | CRC OK
36.010 j1850: 48 3B 40 02 29 | CRC OK
36.013 j1850: 48 3B 40 20 94 | CRC OK
36.022 j1850: 68 93 60 AA FF FF 53 | CRC OK
36.124 j1850: 48 DA 40 39 00 70 | CRC OK
36.532 j1850: 29 FE 60 01 11 | CRC OK
36.538 j1850: 69 93 60 2A 18 | CRC OK
36.551 j1850: 48 92 40 AA FF FF 5B | CRC OK
36.560 j1850: 68 93 60 AA FF FF 53 | CRC OK
36.756 j1850: 29 FE 60 01 11 | CRC OK
36.762 j1850: 68 FF 60 03 AD | CRC OK
37.686 j1850: 68 FF 40 03 D8 | CRC OK
37.696 j1850: 29 FE 40 01 64 | CRC OK
38.559 j1850: 48 DA 40 39 00 70 | CRC OK
38.773 j1850: 29 FE 60 01 11 | CRC OK
38.779 j1850: 68 FF 60 03 AD | CRC OK
39.594 j1850: 48 3B 40 82 0F | CRC OK
39.697 j1850: 48 92 40 2A 00 00 1E | CRC OK
39.715 j1850: 68 FF 40 03 D8 | CRC OK
39.721 j1850: 68 93 60 2A 00 00 16 | CRC OK
39.727 j1850: 29 FE 40 01 64 | CRC OK
40.224 j1850: 48 3B 40 A0 B2 | CRC OK
40.790 j1850: 29 FE 60 01 11 | CRC OK
40.796 j1850: 68 FF 60 03 AD | CRC OK
40.803 j1850: 48 3B 40 02 29 | CRC OK
40.995 j1850: 48 DA 40 39 00 70 | CRC OK
41.543 j1850: 8C FE 10 60 1F | CRC OK
41.609 j1850: 28 FF 10 01 07 07 | CRC OK
41.674 j1850: 28 FF 10 01 07 07 | CRC OK
41.805 j1850: 68 FF 10 03 86 | CRC OK
41.813 j1850: A8 69 10 86 00 00 D7 | CRC OK
41.819 j1850: 08 62 40 20 01 96 | CRC OK
41.825 j1850: 28 1B 10 02 00 00 D5 | CRC OK
41.832 j1850: 48 92 40 2A 00 00 1E | CRC OK
41.838 j1850: 28 1B 10 02 00 00 D5 | CRC OK
41.842 j1850: 68 FF 40 03 D8 | CRC OK
41.850 j1850: 48 29 10 02 00 00 56 | CRC OK | speed_raw=0
41.854 j1850: 48 DA 40 39 00 70 | CRC OK
41.859 j1850: 48 3B 40 02 29 | CRC OK
41.864 j1850: 68 88 10 83 62 | CRC OK
41.868 j1850: 48 3B 40 A0 B2 | CRC OK
41.874 j1850: C8 88 10 0E BA | CRC OK
41.886 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
41.891 j1850: C8 89 60 83 B9 | CRC OK
41.898 j1850: A8 49 10 10 79 10 | CRC OK | temp=0x79
41.902 j1850: E8 89 60 0E 54 | CRC OK
41.907 j1850: 28 1B 10 02 00 00 D5 | CRC OK
41.914 j1850: 68 93 60 2A 00 00 16 | CRC OK
41.922 j1850: A8 83 10 8A 00 00 03 | CRC OK
41.929 j1850: 28 93 10 02 00 8C | CRC OK
41.937 j1850: 08 63 10 20 01 73 | CRC OK
41.944 j1850: 68 88 10 0B AC | CRC OK
41.953 j1850: 68 63 10 26 00 85 | CRC OK
41.961 j1850: 68 62 10 01 E1 | CRC OK
41.970 j1850: 28 1B 10 02 00 00 D5 | CRC OK
41.977 j1850: 68 62 10 21 66 | CRC OK
42.001 j1850: 09 63 10 20 B7 | CRC OK
42.011 j1850: 08 62 40 20 01 96 | CRC OK
42.019 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
42.028 j1850: 08 63 10 20 01 73 | CRC OK
42.036 j1850: 28 1B 10 02 00 00 D5 | CRC OK
42.071 j1850: 48 DA 40 39 00 70 | CRC OK
42.101 j1850: 28 1B 10 02 00 00 D5 | CRC OK
42.167 j1850: 28 1B 10 02 00 00 D5 | CRC OK
42.232 j1850: 28 1B 10 02 00 00 D5 | CRC OK
42.298 j1850: 28 1B 10 02 00 00 D5 | CRC OK
42.363 j1850: 28 1B 10 02 00 00 D5 | CRC OK
42.410 j1850: 69 28 60 02 1F | CRC OK
42.421 j1850: 48 29 10 02 00 00 56 | CRC OK | speed_raw=0
42.424 j1850: 69 93 60 2A 18 | CRC OK
42.430 j1850: 28 1B 10 02 00 00 D5 | CRC OK
42.434 j1850: 68 FF 60 03 AD | CRC OK
42.442 j1850: 48 92 40 2A 00 00 1E | CRC OK
42.463 j1850: 68 93 60 2A 00 00 16 | CRC OK
42.477 j1850: A8 49 10 10 79 10 | CRC OK | temp=0x79
